folder,file,sequence,domain,kingdom,phylum,class,order,family
101192,GCF_000328665.1_ASM32866v1_genomic.fna,NC_019977.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
1048396,GCF_002355635.1_ASM235563v1_genomic.fna,NZ_AP017558.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
1073996,GCF_002788215.1_ASM278821v1_genomic.fna,NZ_CP024845.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
111955,GCF_000011205.1_ASM1120v1_genomic.fna,NC_003106.2,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera
113653,GCF_001006045.1_ASM100604v1_genomic.fna,NZ_CP011267.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus
1200300,GCF_000264495.1_ASM26449v1_genomic.fna,NC_017954.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius
1273541,GCF_001412615.1_ASM141261v1_genomic.fna,NZ_CP013011.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium
1291540,GCF_000300255.2_ASM30025v2_genomic.fna,NC_020913.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus
1294262,GCF_008326385.1_SulIC007_1.0_genomic.fna,NZ_AP018930.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfuracidifex
1353260,GCF_000802205.1_ASM80220v2_genomic.fna,NZ_CP012850.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrosocosmicus
1364945,GCF_025231485.1_ASM2523148v1_genomic.fna,NZ_CP104003.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
13769,GCF_000025625.1_ASM2562v1_genomic.fna,NC_013922.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
13773,GCF_000007225.1_ASM722v1_genomic.fna,NC_003364.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
1379040,GCF_024498335.1_ASM2449833v1_genomic.fna,NZ_CP101825.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae
1406512,GCF_902383905.1_UHGG_MGYG-HGUT-02160_genomic.fna,NZ_LR698974.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
1407499,GCF_001488575.1_Halobacterium_hubeiense_JI20-1_genomic.fna,NZ_LN831302.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae
1410606,GCF_000812185.1_ASM81218v1_genomic.fna,NZ_CP007026.1,Archaea,Nitrososphaerota,,,,
145263,GCF_000145295.1_ASM14529v1_genomic.fna,NC_014408.1,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae
146826,GCF_000023945.1_ASM2394v1_genomic.fna,NC_013158.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
1510225,GCF_026410925.1_ASM2641092v1_genomic.fna,NZ_CP112972.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
1547898,GCF_003342695.1_ASM334269v1_genomic.fna,NZ_CP031150.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae
1550241,GCF_000993805.1_ASM99380v1_genomic.fna,NZ_CP009961.1,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Infirmifilum
1552990,GCF_022869805.1_ASM2286980v1_genomic.fna,NZ_CP094974.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
155863,GCF_000179575.2_ASM17957v2_genomic.fna,NC_015636.1,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae
1577791,GCF_000800805.1_ASM80080v1_genomic.fna,NZ_CP010070.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanoplasma
1586232,GCF_023008545.1_ASM2300854v1_genomic.fna,NZ_CP095397.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae
1586233,GCF_020217425.1_ASM2021742v1_genomic.fna,NZ_CP084090.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
160233,GCF_000017945.1_ASM1794v1_genomic.fna,NC_009776.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus
1603555,GCF_000955905.1_ASM95590v3_genomic.fna,NZ_CP011097.1,Archaea,Nitrososphaerota,Nitrosotenuis,,,
1604004,GCF_001305655.1_ASM130565v1_genomic.fna,NZ_CP011564.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae
164451,GCF_000148385.1_ASM14838v1_genomic.fna,NC_014537.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta
1670455,GCF_003967175.1_Sacidi_1.0_genomic.fna,NZ_AP018553.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfodiicoccus
1673428,GCF_900090055.1_C.divulgatum_PM4_genomic.fna,NZ_LT719092.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma
1679096,GCF_003058365.1_ASM305836v1_genomic.fna,NZ_CP028858.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae
179637,GCF_022870485.1_ASM2287048v1_genomic.fna,NZ_CP095005.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae
184117,GCF_000193375.1_ASM19337v1_genomic.fna,NC_015315.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus
1853682,GCF_003721175.2_ASM372117v2_genomic.fna,NZ_CP054707.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae
1853690,GCF_002025255.2_ASM202525v2_genomic.fna,NZ_CP054587.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
1873524,GCF_001886955.1_ASM188695v1_genomic.fna,NZ_CP016804.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae
1874277,GCF_013340765.1_NAS2_1.0_genomic.fna,NZ_AP018732.1,Archaea,Nitrososphaerota,Conexivisphaeria,Conexivisphaerales,Conexivisphaeraceae,Conexivisphaera
1898749,GCF_002156965.1_ASM215696v1_genomic.fna,NZ_CP021324.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosomarinus
1903276,GCF_900177045.1_Candidatus_Nitrosotalea_koreensis_CS_whole_genome_genomic.fna,NZ_LT841358.1,Archaea,Nitrososphaerota,Nitrosotalea,,,
1920749,GCF_002214165.1_ASM221416v1_genomic.fna,NZ_CP019964.1,Archaea,Candidatus Micrarchaeota,Candidatus Mancarchaeum,,,
200415,GCF_000317795.1_ASM31779v1_genomic.fna,NC_019791.1,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
2045011,GCF_002906215.1_ASM290621v1_genomic.fna,NZ_CP024014.1,Archaea,Nitrososphaerota,Nitrososphaeria,Candidatus Nitrosocaldales,Candidatus Nitrosocaldaceae,Candidatus Nitrosocaldus
2055893,GCF_002952775.1_ASM295277v1_genomic.fna,NZ_CP025066.1,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae
2173,GCF_000016525.1_ASM1652v1_genomic.fna,NC_009515.1,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae
2176,GCF_000025865.1_ASM2586v1_genomic.fna,NC_014002.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
2180,GCF_000166095.1_ASM16609v1_genomic.fna,NC_014658.1,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanothermaceae
2187,GCF_000017165.1_ASM1716v1_genomic.fna,NC_009634.1,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae
2189,GCF_000214415.1_ASM21441v1_genomic.fna,NC_015562.1,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae
2198,GCF_000015825.1_ASM1582v1_genomic.fna,NC_009051.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
2199,GCF_026684035.1_ASM2668403v1_genomic.fna,NZ_CP113361.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
2201,GCF_000275865.1_ASM27586v1_genomic.fna,NZ_CM001555.1,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
