Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
Viruses,2501,Duplodnaviria,1163,Heunggongvirae,1163,Caudoviricetes,1140,Uroviricota,1140,Norzivirales,271
Bacteria,1920,Riboviria,993,Orthornavirae,956,Leviviricetes,425,Lenarviricota,443,nan,179
Archaea,142,Pseudomonadota,762,Gammaproteobacteria,310,Haploviricotina,142,Negarnaviricota,211,Timlovirales,147
Eukaryota,70,Bacillota,324,Alphaproteobacteria,288,Pisoniviricetes,139,Pisuviricota,176,Monjiviricetes,139
,,Actinomycetota,246,Actinomycetes,210,nan,102,Kitrinoviricota,92,Autographiviridae,115
,,Monodnaviria,185,Betaproteobacteria,161,Polyploviricotina,69,Micrococcales,91,Picornavirales,90
,,Bacteroidota,183,Shotokuvirae,146,Flavobacteriaceae,65,Bacillales,90,Ellioviricetes,60
,,Euryarchaeota,93,Clostridia,144,Alsuviricetes,65,Cossaviricota,90,Zurhausenvirales,53
,,Varidnaviria,65,Bacilli,136,Papovaviricetes,60,Hyphomicrobiales,89,Schitoviridae,48
,,Cyanobacteriota,63,Flavobacteriia,87,Bacillaceae,52,Flavobacteriales,87,Kyanoviridae,46
,,Thermodesulfobacteriota,53,Stenosarchaea group,74,Enterobacteriaceae,43,Burkholderiales,86,Peduoviridae,45
,,Planctomycetota,52,Cyanophyceae,63,Paracoccaceae,42,Enterobacterales,80,Nidovirales,43
,,Fungi,51,Bamfordvirae,62,Microbacteriaceae,34,Rhodobacterales,73,Straboviridae,35
,,Thermoproteota,25,Dikarya,50,Arfiviricetes,33,Eubacteriales,68,Herelleviridae,34
,,Anelloviridae,22,Planctomycetia,43,Roseobacteraceae,31,Halobacteria,56,Tubulavirales,29
,,Spirochaetota,19,Cytophagia,38,Revtraviricetes,30,Cressdnaviricota,56,Piccovirales,29
,,Mycoplasmatota,19,Bacteroidia,31,Faserviricetes,29,Rhodospirillales,48,Tymovirales,28
,,Campylobacterota,19,Pararnavirae,30,Quintoviricetes,29,Lactobacillales,46,Martellivirales,28
,,Alphasatellitidae,18,Loebvirae,29,Halobacteriales,28,Ascomycota,42,Drexlerviridae,25
,,Verrucomicrobiota,17,Thermoprotei,25,Lactobacillaceae,28,Nucleocytoviricota,41,Ortervirales,25
,,Myxococcota,17,Coriobacteriia,21,Acetobacteraceae,27,nan,39,Casjensviridae,24
,,Acidobacteriota,14,Spirochaetia,19,Lachnospiraceae,27,Cytophagales,38,Geplafuvirales,23
,,Chloroflexota,13,Epsilonproteobacteria,18,Repensiviricetes,23,Oceanospirillales,33,Herpesvirales,23
,,Adnaviria,13,Tissierellia,16,Herviviricetes,23,Sphingomonadales,32,Saccharomycetes,22
,,Thermotogota,12,Chitinophagia,16,Oscillospiraceae,22,Lachnospirales,31,Chitovirales,21
,,Sar,11,Desulfovibrionia,15,Comamonadaceae,22,Neisseriales,30,Durnavirales,20
,,Naldaviricetes,11,Erysipelotrichia,14,Saccharomycotina,22,Artverviricota,30,Tolivirales,19
,,Nitrososphaerota,10,Zilligvirae,13,Pokkesviricetes,22,Hofneiviricota,29,Haloarculaceae,17
,,Synergistota,10,Thermotogae,12,Duplopiviricetes,20,Chromatiales,27,Natrialbaceae,15
